,experiment_id,mean_jitter,std_jitter,mean_latency,std_latency,mean_throughput,std_throughput,index,error_rate,std_error_rate,topology,num_robots,msg_limit,migration_frequency,robot_speed,group_count,mean_jitter_scaled,mean_latency_scaled,mean_throughput_scaled,error_rate_scaled,QoS_c,QoS_s
260,2507251739,10.167431823936717,4.119038070511191,24.30654761904762,14.542689176043316,0.44680412371134026,1.8552580146016842,260.0,0.0,0.0,Stochastic,8,Limited,None,Static,1552,0.1419001223639858,0.15454495688893327,0.4795053447719957,0.0,0.8352030254417365,0.8514343070664612
261,2507251741,13.351493048384869,3.7418741233946093,27.738095238095237,13.494823060459392,0.4207959305804907,1.6029271580142377,261.0,0.0,0.0,Stochastic,8,Limited,None,Static,1671,0.19755331014637723,0.18464704860105133,0.4426039502566318,0.0,0.8025485431885432,0.8311907362392121
262,2507251743,14.220475992997377,6.754838989519714,33.14345238095238,18.57331063854265,0.442185628742515,1.7238020253733641,262.0,0.00980392156862745,0.07001400420140048,Stochastic,8,Limited,None,Static,1670,0.21274198510805203,0.23206371726327935,0.4729524518411258,0.19260801665799063,0.7491866877767613,0.7315656266835301
263,2507251745,13.194669952984317,5.400222025932286,25.595238095238095,12.053996859881124,0.44327377153797065,1.704961190172637,263.0,0.0,0.0,Stochastic,8,Limited,None,Static,1567,0.1948122494186723,0.16584955854664976,0.474496349426865,0.0,0.8158217933146935,0.8407999986905746
264,2507251749,14.835220173236614,3.8726733553947765,32.12261904761905,17.966104527375013,0.4520424734540912,1.745602263745918,264.0,0.0,0.0,Stochastic,8,Limited,None,Static,1601,0.22348690202054516,0.22310880186236298,0.4869377107765922,0.0,0.7812676446413415,0.8303981865728821
265,2507251751,17.010405230239087,6.062281330465469,32.71190476190476,16.827704415411276,0.46522658610271905,1.9483279176632964,265.0,0.0,0.0,Stochastic,8,Limited,None,Static,1655,0.26150626594147336,0.22827811162732342,0.5056438215676928,0.0,0.7710487598577394,0.827661107678219
266,2507251753,11.999542416905387,4.685744712503057,27.19702380952381,13.78612865508155,0.4519646125686394,1.7323543787275932,266.0,0.0,0.0,Stochastic,8,Limited,None,Static,1639,0.1739229974537277,0.17990068236231493,0.48682723884811496,0.0,0.8152516333402221,0.8442918957972165
267,2507251755,13.865277087248803,5.867416642120752,27.147619047619045,11.644853966740225,0.43588661037394455,1.6927363987937685,267.0,0.0032467532467532465,0.0215365246126974,Stochastic,8,Limited,None,Static,1658,0.20653357703789899,0.17946729578606066,0.4640151696274517,0.06378577175037352,0.7954666090476841,0.8030100171267097
268,2507251757,16.992429325401474,4.83597521031246,34.910714285714285,12.148296434151773,0.46661233993015133,1.9040063030945769,268.0,0.0,0.0,Stochastic,8,Limited,None,Static,1718,0.26119207085005847,0.24756642503314547,0.507609980786443,0.0,0.7616797678495569,0.825208221774808
269,2507251759,15.812509774073279,5.956021440310551,31.506547619047616,14.097874578186849,0.4650537634408602,1.8879192879973443,269.0,0.0,0.0,Stochastic,8,Limited,None,Static,1674,0.24056863438659531,0.21770452347172253,0.5053986143287907,0.0,0.7815454411003689,0.8323387491870105
270,2507251801,19.00461720774235,8.48632209687176,37.19642857142857,16.235240786875917,0.44219557195571957,1.7449923538396495,270.0,0.0,0.0,Stochastic,8,Limited,None,Static,1626,0.29636245928653643,0.2676170810911738,0.4729665596429006,0.0,0.7393975005970692,0.8099963808719236
271,2507251803,15.487747946246625,6.66019420517826,39.423809523809524,18.147661977361544,0.45418181818181824,1.898560425379713,271.0,0.0,0.0,Stochastic,8,Limited,None,Static,1540,0.23489222626673512,0.28715602769772125,0.4899730928734969,0.0,0.7466962388718054,0.8196873804800309
272,2507251805,13.734075878617848,4.673272253345687,30.563690476190477,18.062455434499796,0.4467948717948718,1.8073662924042728,272.0,0.0,0.0,Stochastic,8,Limited,None,Static,1560,0.20424035307438027,0.20943362784778585,0.47949221780781526,0.0,0.7921723195882936,0.8338473464232381
273,2507251807,18.218430324413635,5.968018994164851,33.29345238095238,10.866622230527948,0.45214196762141967,1.7891522612959894,273.0,0.00303951367781155,0.020837855928270647,Stochastic,8,Limited,None,Static,1606,0.2826209501993394,0.2333795415670874,0.4870788768123139,0.05971433951098798,0.7524057284212046,0.7901585318420048
274,2507251832,8.84371931031138,4.302625462654155,16.085416666666667,6.603555064064128,0.2672847682119205,0.8299822625459407,274.0,0.0,0.0,Comm Aware,8,Limited,None,Static,1057,0.11876337470189895,0.0824278641427201,0.2247965871470652,0.0,0.8515748829678718,0.8147806316027202
275,2507251834,10.700309301539784,4.228194131481396,20.43611111111111,7.5192211077357864,0.2623408423114594,0.8875379612908011,275.0,0.0,0.0,Comm Aware,8,Limited,None,Static,1021,0.15121411736456575,0.12059286073233957,0.21778196067187025,0.0,0.8236782363598758,0.8027853454198381
276,2507251836,9.413620546248179,3.4311969406042966,15.508333333333333,4.80541196225507,0.2646735074626866,0.8385248294286013,276.0,0.0,0.0,Comm Aware,8,Limited,None,Static,1072,0.12872449613306886,0.07736559564056944,0.22109163299645687,0.0,0.8512452414460938,0.8133048128332456
277,2507251838,11.735741469599144,4.091306897123092,19.13888888888889,5.518140678091658,0.2779076086956522,0.8934606116273646,277.0,0.0,0.0,Comm Aware,8,Limited,None,Static,1104,0.1693121050673379,0.10921341721607317,0.23986866945558186,0.0,0.8270521320706872,0.8061949055486046
278,2507251840,11.138206965131594,3.2630613704422102,18.74861111111111,6.2406217116119675,0.28137589928057555,0.8984558184309669,278.0,0.0,0.0,Comm Aware,8,Limited,None,Static,1112,0.15886799057347972,0.10578983731449834,0.24478960950413794,0.0,0.8318670446497947,0.8092592477176308
279,2507251842,9.577431132886627,2.349637917169531,18.43611111111111,7.152123178553296,0.26789999999999997,0.8329498809019849,279.0,0.0,0.0,Comm Aware,8,Limited,None,Static,1100,0.13158768898530848,0.10304853668156477,0.22566950095603663,0.0,0.8381457595084942,0.8099384663411763
280,2507251844,13.925398549888124,4.208599146636709,18.704166666666666,6.957953685426208,0.2826561125769569,0.8862789053173825,280.0,0.0,0.0,Comm Aware,8,Limited,None,Static,1137,0.2075844208546972,0.10539996344670335,0.24660602388078864,0.0,0.820064515451053,0.8023735471309477
