experiment_id,max_genes,num_robots,topology,robot_speed,msg_limit,migration_frequency,fitness_score_mean,fitness_score_std,cpu_util_core0_mean,cpu_util_core0_std,cpu_util_core1_mean,cpu_util_core1_std,latency_mean,latency_std,throughput_mean,throughput_std,final_fitness_score,fitness_rate_change,rssi_mean,rssi_std,gene_variance,fitness_spread_mean,fitness_spread_std,msg_rate,msg_variance,jitter_ms,success_ratio,error_rate
2507241329,10,8,0,1,0,0,21.127,47.33406912979105,10.674273858921161,12.31227950473023,43.939834024896264,37.977596393545255,25.085403726708076,31.20833278871299,0.6175227182931647,2.3324796020225484,5.054,-5.5179974598601,-4.674714631615358,1.0537956574816658,1.4394707898898897,3.2,2.327373340628157,0.19166666666666665,0.25454545454545446,16.401747866764364,0.07207207207207207,0.0
2507241520,10,8,1,1,0,0,26.1360396039604,50.19297779190248,8.882956878850102,12.029997532069304,44.172484599589325,37.56304744727186,13.942652329749103,10.37413122604671,0.4099322660098522,1.252688222765788,8.063,-5.234078927203067,-4.39967776584318,1.216732213558116,1.776855262264373,1.4642857142857142,1.0708993401928106,0.19375,6.7451298701298725,10.054486050344014,0.19696969696969696,0.0035842293906810036
2507301055,10,3,1,1,0,0,24.682945945945946,59.624508766178586,8.127777777777778,12.071033038210079,42.40555555555556,37.5659862231605,8.411764705882353,3.9244196410063714,0.2048854961832061,0.4729699365023328,6.033,-6.632575081792086,-15.84375,3.329820057135704,1.3126580737200615,1.1818181818181819,0.39477101697586137,0.18888888888888888,13.866666666666669,5.744135909539476,0.2727272727272727,0.0
2507241510,10,8,1,1,0,0,26.13919230769231,49.48002336435801,9.130165289256198,11.994546689357717,50.77066115702479,37.42746036834557,14.368055555555555,10.810207157328634,0.402672064777328,1.1414969092822291,8.989,-5.658181104073528,-4.591933916423713,1.2104614144877457,1.812202896608243,1.5172413793103448,1.0562970921090475,0.2,8.924675324675324,8.116042155422084,0.26881720430107525,0.003472222222222222
2507231623,10,13,1,0,0,0,18.608313953488373,48.10415800395304,11.326142131979696,12.400822895189927,51.494923857868024,36.84999952062658,31.59119496855346,24.413639171254104,0.5737512437810945,1.9478941507698957,2.07,-5.691276510873577,-3.2630621693121693,0.55944147904377,1.0674637211923503,2.5172413793103448,2.6808939028291663,0.20384615384615384,14.696277915632747,15.82798408924231,0.16365280289330922,0.0020964360587002098
2507261258,10,8,0,0,0,0,24.006345132743363,49.91813199089258,11.010416666666666,12.552266338103495,50.475,37.49259356226312,41.76734693877551,37.63439525443365,0.6593512716549944,2.643017422978968,7.988,-5.552827297949538,-4.915577168367347,1.0130154088698995,1.6031702542942683,2.3181818181818183,2.3378126454803785,0.21875,0.6204545454545455,25.77694919730154,0.148859543817527,0.0
2507270844,10,3,1,0,1,0,27.20015625,43.536481960430926,7.705555555555556,12.11568871742151,37.18888888888889,37.10844576861024,12.285714285714286,6.615001266684819,0.11477351916376306,0.37108308815855856,12.028,-5.481031574455984,-16.714285714285715,4.155461122770509,1.683302324608151,1.0434782608695652,0.20851441405707477,0.09444444444444444,1.8666666666666665,8.436401800369238,0.3684210526315789,0.0
2507261256,10,8,0,0,0,0,21.088613861386136,49.745765774379315,10.638253638253639,12.547331732704514,44.67567567567568,37.52830613365411,30.231950844854072,27.284483486249584,0.6424582824582824,2.574889798088859,5.027,-5.108836382621142,-4.866623814880283,0.8636836037836203,1.273101521986282,2.0434782608695654,2.325320327289539,0.19375,0.23863636363636376,16.46790606634479,0.07828655834564253,0.0
2507302048,10,2,0,0,0,0,38.04334782608696,45.96535913411383,8.09016393442623,11.974493621592709,39.40983606557377,37.06053883601637,10.095238095238095,6.131107256481181,0.19860465116279072,0.45126841415339913,24.002,-4.73577722772278,-34.904761904761905,2.2339373738930526,2.6638524064742732,1.1,0.30779350562554625,0.175,0.5,9.226856706954164,0.2857142857142857,0.0
2507301319,10,3,0,1,0,0,33.53775675675676,43.3606825191039,15.98342541436464,27.174226992608183,48.93370165745856,39.25862993731368,11.544117647058824,6.616203139713336,0.3111466165413534,0.7449915640062703,16.99,-4.8618438288920025,-17.293650793650794,3.171362433172798,2.545428357401302,1.25,0.4423258684646913,0.18888888888888888,0.266666666666667,7.085802964197446,0.25287356321839083,0.0
