response,effect,F_value,p_value,sum_sq
fitness_score_mean,C(topology),8.935362595781386,0.002961333300856982,379.2246860186899
fitness_score_mean,C(robot_speed),0.9752300969364727,0.32394782334290884,41.389627263846826
fitness_score_mean,C(msg_limit),2.120258670754277,0.14610909311385928,89.98565196165741
fitness_score_mean,C(topology):C(robot_speed),3.5404513768305503,0.06058050070515481,150.2598856342878
fitness_score_mean,C(topology):C(msg_limit),4.440130001059769,0.035695894793621535,188.4430416208319
fitness_score_mean,C(robot_speed):C(msg_limit),0.8764524675536616,0.34971314483102156,37.197417368967756
fitness_score_mean,C(topology):C(robot_speed):C(msg_limit),1.0321245968695543,0.31024505751481257,43.804280126787134
fitness_score_mean,Residual,,,17825.171213874106
fitness_score_std,C(topology),13.423086028090893,0.0002803420849943633,243.6582870738058
fitness_score_std,C(robot_speed),2.2531131296464957,0.13409727918204034,40.89891732827159
fitness_score_std,C(msg_limit),12.547912509800895,0.0004411165984366293,227.77197896904983
fitness_score_std,C(topology):C(robot_speed),0.646785324581231,0.421719328657292,11.740564275766042
fitness_score_std,C(topology):C(msg_limit),0.2338851279977862,0.6289099445342833,4.245525175113816
fitness_score_std,C(robot_speed):C(msg_limit),1.0578968046692696,0.3042873268591954,19.20313427084752
fitness_score_std,C(topology):C(robot_speed):C(msg_limit),0.16642164537339102,0.6835196607888907,3.020915828061043
fitness_score_std,Residual,,,7623.916017288113
cpu_util_core0_mean,C(topology),35.00956003558163,6.814592890270594e-09,146.5732166758551
cpu_util_core0_mean,C(robot_speed),0.13862409381376803,0.7098404934172025,0.5803723131170141
cpu_util_core0_mean,C(msg_limit),170.34483138121172,6.420724248748204e-33,713.1763396704891
cpu_util_core0_mean,C(topology):C(robot_speed),2.0326559136620985,0.15469414858396896,8.510044552340894
cpu_util_core0_mean,C(topology):C(msg_limit),3.0515175967534933,0.08139270113485819,12.775674685558888
cpu_util_core0_mean,C(robot_speed):C(msg_limit),0.06077180736546718,0.8054006403207191,0.25443105482356465
cpu_util_core0_mean,C(topology):C(robot_speed):C(msg_limit),1.687290233890285,0.19467121397526366,7.064114967331844
cpu_util_core0_mean,Residual,,,1758.3983043857866
cpu_util_core0_std,C(topology),3.4650540549364517,0.0633768201718526,45.99931163231504
cpu_util_core0_std,C(robot_speed),0.018950057767099782,0.8905757284701625,0.2515659492922922
cpu_util_core0_std,C(msg_limit),67.47617734666748,2.6632367111652316e-15,895.7602566415484
cpu_util_core0_std,C(topology):C(robot_speed),0.757181882342841,0.38470893044689447,10.051746615211176
cpu_util_core0_std,C(topology):C(msg_limit),1.4642831299892756,0.22693045542150062,19.43866241231081
cpu_util_core0_std,C(robot_speed):C(msg_limit),0.054572272662686244,0.8154038399640046,0.7244582441991975
cpu_util_core0_std,C(topology):C(robot_speed):C(msg_limit),0.6631270800606942,0.4159195959592563,8.803149597069828
cpu_util_core0_std,Residual,,,5575.587156583805
cpu_util_core1_mean,C(topology),69.45958898684911,1.1216264716500618e-15,1259.5275038146801
cpu_util_core1_mean,C(robot_speed),0.0010962372667307613,0.9736030163932093,0.019878335134050983
cpu_util_core1_mean,C(msg_limit),52.938181692723305,1.7029110290011411e-12,959.9408349011085
cpu_util_core1_mean,C(topology):C(robot_speed),1.593654289470996,0.20750531084574927,28.898118149547315
cpu_util_core1_mean,C(topology):C(msg_limit),0.3203845365916299,0.5716789354596581,5.8096101851463615
cpu_util_core1_mean,C(robot_speed):C(msg_limit),0.3050209652897341,0.5810454861187746,5.531018835934385
cpu_util_core1_mean,C(topology):C(robot_speed):C(msg_limit),0.6051734533099652,0.4370488933530101,10.97375639764763
cpu_util_core1_mean,Residual,,,7615.961443456314
cpu_util_core1_std,C(topology),3.1094609662685295,0.07856580570967374,1.5862754558045253
cpu_util_core1_std,C(robot_speed),0.13449173955894167,0.7140042502226149,0.06861026646905327
cpu_util_core1_std,C(msg_limit),0.3444247035959892,0.5576015844126256,0.1757064840542796
cpu_util_core1_std,C(topology):C(robot_speed),0.0023840150568886923,0.9610808715362361,0.0012161929710759964
cpu_util_core1_std,C(topology):C(msg_limit),2.6233415808761733,0.10605305191911577,1.3382841614921712
cpu_util_core1_std,C(robot_speed):C(msg_limit),0.28268042959534917,0.595230818318562,0.14420796149806286
cpu_util_core1_std,C(topology):C(robot_speed):C(msg_limit),2.385181326368532,0.12324378910418085,1.2167879374289408
cpu_util_core1_std,Residual,,,214.2608312711539
latency_mean,C(topology),88.01079865323224,4.12076590561524e-19,42536.35066391386
latency_mean,C(robot_speed),2.4678242463994877,0.11695168794541373,1192.7199744585253
latency_mean,C(msg_limit),16.242070087059034,6.618210648541091e-05,7849.9275009775865
latency_mean,C(topology):C(robot_speed),0.19229133670926002,0.6612418293170499,92.93600163912868
latency_mean,C(topology):C(msg_limit),8.089290102712175,0.0046703583948302044,3909.6211566812767
latency_mean,C(robot_speed):C(msg_limit),0.013376507672750374,0.9079797790263473,6.464977363385712
latency_mean,C(topology):C(robot_speed):C(msg_limit),0.00017414317172719556,0.9894774222493952,0.08416484262913934
latency_mean,Residual,,,202989.4916558368
latency_std,C(topology),90.97363578696049,1.199050393080203e-19,50587.180079700476
latency_std,C(robot_speed),0.1925377143313857,0.6610384710928547,107.06332601485177
latency_std,C(msg_limit),18.354167330376292,2.276030571473827e-05,10206.094984804196
latency_std,C(topology):C(robot_speed),0.0012732053535735681,0.9715528729772599,0.7079838894258701
latency_std,C(topology):C(msg_limit),10.06330545352878,0.0016235679764846122,5595.843683403268
